Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"maisto,-cycle-sounds,-harley-davidson-2004-flstfi-fat-boy!,-motorcycle,-1:18,-4+-years","Maisto, Cycle Sounds, Harley-Davidson 2004 FLSTFI Fat Boy!, Motorcycle, 1:18, 4+ years",<p>Maisto - Regular</p>,Maisto,Toys / Vehicles,"For Men, Regular, Vehicles",TRUE,Title,Default Title,090159816317,9.18,22.32,1,https://www.mewse.ro/images/produse/maisto-cycle-sounds-harley-davidson-2004-flstfi-fat-boy-motorcycle-1-18-4-years-1678692602.jpeg
"maisto,-tech-scorpion,-toy-car,-red/black","Maisto, Tech Scorpion, Toy Car, Red/Black",<p>Maisto - Regular</p>,Maisto,Toys / Vehicles,"For Boys, Regular, Vehicles",TRUE,Title,Default Title,090159811824,38.11,105.96,6,https://www.mewse.ro/images/produse/maisto-tech-scorpion-toy-car-red-black-1680600846.png
"maisto,-special-edition,-cars-playset,-mercedes-benz-sls-amg-roadster,-mai31272,-for-boys,-3+-years","Maisto, Special Edition, Cars Playset, Mercedes Benz SLS AMG Roadster, MAI31272, For Boys, 3+ years",<p>Maisto - Regular</p>,Maisto,Toys / Playsets,"For Boys, Regular, Playsets",TRUE,Title,Default Title,090159312727,24.37,72.58,12,https://www.mewse.ro/images/produse/maisto-special-edition-cars-playset-mercedes-benz-sls-amg-roadster-mai31272-3-years-1678224392.jpeg
"maisto,-lamborghini-huracan,-cars-playset,-for-boys,-8+-years","Maisto, Lamborghini Huracan, Cars Playset, For Boys, 8+ years",<p>Maisto - Regular</p>,Maisto,Toys / Playsets,"For Boys, Regular, Playsets",TRUE,Title,Default Title,090159811268,12.31,18.00,1,https://www.mewse.ro/images/produse/maisto-lamborghini-huracan-cars-playset-8-years--1677748289.jpg
"maisto,-fresh-metal,-earth-shockers,-toy-car,-8+-years","Maisto, Fresh Metal, Earth Shockers, Toy Car, 8+ years",<p>Maisto - None</p>,Maisto,Toys / Vehicles,"None, None, Vehicles",TRUE,Title,Default Title,090159211440,6.68,14.00,4,https://www.mewse.ro/images/produse/
"maisto,-h-d-costom,-asst,-motorcycle,-1:12,-3+-years","Maisto, H-D Costom, Asst, Motorcycle, 1:12, 3+ years",<p>Maisto - None</p>,Maisto,Toys / Vehicles,"None, None, Vehicles",TRUE,Title,Default Title,090159311010,6.98,14.00,1,https://www.mewse.ro/images/produse/
"maisto,-design,-elite-transport,-toy-car,-1:64,-8+-years","Maisto, Design, Elite Transport, Toy Car, 1:64, 8+ years",<p>Maisto - None</p>,Maisto,Toys / Vehicles,"None, None, Vehicles",TRUE,Title,Default Title,090159150558,14.32,30.00,3,https://www.mewse.ro/images/produse/
"maisto,-assembly-line,-ferrari-al-(a)----f431,-toy-car,-1:24,-8+-years","Maisto, Assembly Line, Ferrari Al (A) -  F431, Toy Car, 1:24, 8+ years",<p>Maisto - Regular</p>,Maisto,Toys / Vehicles,"For Boys, Regular, Vehicles",TRUE,Title,Default Title,090159392590,23.29,80.00,9,https://www.mewse.ro/images/produse/
"maisto,-fresh-metal,-motorcycle,-1:18,-3+-years","Maisto, Fresh Metal, Motorcycle, 1:18, 3+ years",<p>Maisto - None</p>,Maisto,Toys / Vehicles,"None, None, Vehicles",TRUE,Title,Default Title,090159313007,10.50,22.00,21,https://www.mewse.ro/images/produse/
"set,-maisto,-lamborghini-collection,-assorted,-toy-car,-24-pcs","Set, Maisto, Lamborghini Collection, Assorted, Toy Car, 24 pcs",<p>Maisto - Regular</p>,Maisto,Toys / Vehicles,"For Boys, Regular, Vehicles",TRUE,Title,Default Title,090159210726,5.68,12.00,43,https://www.mewse.ro/images/produse/
