Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty
"-peuch-&-besse,-chateau-hauterive-chemin-de-compostelle-,-merlot,-red,-wine,-14%,-750-ml"," Peuch & Besse, Chateau Hauterive Chemin de Compostelle , Merlot, Red, Wine, 14%, 750 ml",,Peuch & Besse,Beverages,"None, Alcoholic Drinks, Wine",TRUE,Title,Default Title,0036|3573250020113,4.00,4
"remy-martin,-louis-xiii,-red,-cognac,-40%,-1500-ml","Remy Martin, Louis XIII, Red, Cognac, 40%, 1500 ml",,Remy Martin,Beverages,"None, Alcoholic Drinks, Cognac",TRUE,Title,Default Title,0036|3024480008612,3.00,1
