Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"jo-malone,-pomegranate-noir-london-city,-scented-candle,-200-g","Jo Malone, Pomegranate Noir London City, Scented Candle, 200 g",<p>Jo Malone - Regular</p>,Jo Malone,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,690251087037,28.16,59.00,3,https://www.mewse.ro/images/produse/jo-malone-pomegranate-noir-london-city-scented-candle-200-g-1683636496.jpeg
"jo-malone,-orange-bitters,-porcelain-aroma-reed-diffuser","Jo Malone, Orange Bitters, Porcelain Aroma Reed Diffuser",<p>Jo Malone - Regular</p>,Jo Malone,Room Scents / Aroma Diffusers,"Unisex, Regular, Aroma Diffusers",TRUE,Title,Default Title,690251119882,46.22,100.00,7,https://www.mewse.ro/images/produse/jo-malone-orange-bitters-porcelain-aroma-diffuser-tester--1671171270.jpg
"jo-malone,-jo-malone,-pine-&-eucalyptus,-scented-candle,-2100-g","Jo Malone, Jo Malone, Pine & Eucalyptus, Scented Candle, 2100 g",<p>Jo Malone - Regular</p>,Jo Malone,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,690251073306,148.27,485.00,10,https://www.mewse.ro/images/produse/jo-malone-jo-malone-pine-eucalyptus-scented-candle-2100-g-1683634077.jpeg
"jo-malone,-pomegranate-noir,-pomegranate-noir,-scented-candle,-60-g","Jo Malone, Pomegranate Noir, Pomegranate Noir, Scented Candle, 60 g",<p>Jo Malone - Regular</p>,Jo Malone,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,690251058532,18.23,30.80,59,https://www.mewse.ro/images/produse/jo-malone-pomegranate-noir-pomegranate-noir-scented-candle-60-g-1725871150.jpg
"jo-malone,-orange-bitters,-pomegranate-noir,-scented-candle,-200-g","Jo Malone, Orange Bitters, Pomegranate Noir, Scented Candle, 200 g",<p>Jo Malone - Regular</p>,Jo Malone,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,690251129591,35.14,60.20,27,https://www.mewse.ro/images/produse/jo-malone-orange-bitters-pomegranate-noir-scented-candle-200-g-1725875978.jpg
"jo-malone,-pine-&-eucalyptus,-pine-&-eucalyptus,-scented-candle,-200-g","Jo Malone, Pine & Eucalyptus, Pine & Eucalyptus, Scented Candle, 200 g",<p>Jo Malone - Regular</p>,Jo Malone,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,690251129621,35.46,60.20,15,https://www.mewse.ro/images/produse/jo-malone-jo-malone-pine-eucalyptus-scented-candle-200-g-1725876553.jpg
"jo-malone,-pine-&-eucalyptus,-stick,-aroma-reed-diffuser,-165-ml","Jo Malone, Pine & Eucalyptus, Stick, Aroma Reed Diffuser, 165 ml",<p>Jo Malone - Regular</p>,Jo Malone,Room Scents / Aroma Diffusers,"Unisex, Regular, Aroma Diffusers",TRUE,Title,Default Title,690251129638,52.56,87.60,1,https://www.mewse.ro/images/produse/jo-malone-jo-malone-pine-eucalyptus-scented-candle-200-g-1725876632.jpg
"jo-malone,-jo-malone,-lime-basil-&-mandarin,-scented-candle,-2100-g","Jo Malone, Jo Malone, Lime Basil & Mandarin, Scented Candle, 2100 g",<p>Jo Malone - Regular</p>,Jo Malone,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,690251027200,193.14,485.00,2,https://www.mewse.ro/images/produse/jo-malone-jo-malone-lime-basil-scented-candle-2100-g-1683631153.jpeg
"jo-malone,-jo-malone,-lime-basil-&-mandarin,-scented-candle,-600-g-*tester","Jo Malone, Jo Malone, Lime Basil & Mandarin, Scented Candle, 600 g *Tester",<p>Jo Malone - Tester</p>,Jo Malone,Room Scents / Candles,"Unisex, Tester, Candles",TRUE,Title,Default Title,990000000000422,49.52,189.00,2,https://www.mewse.ro/images/produse/jo-malone-jo-malone-lime-basil-mandarin-scented-candle-600-g-tester-1683634472.jpeg
"parfums-de-marly,-imperial-rose,-scented-candle,-300-g","Parfums de Marly, Imperial Rose, Scented Candle, 300 g",<p>Parfums de Marly - Regular</p>,Parfums de Marly,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,3700578599209,41.89,130.00,1,https://www.mewse.ro/images/produse/parfums-de-marly-imperial-rose-scented-candle-300-g-1-3700578599209-1673853232.jpg
"parfums-de-marly,-oriental-cinnamon,-scented-candle,-300-g","Parfums de Marly, Oriental Cinnamon, Scented Candle, 300 g",<p>Parfums de Marly - Regular</p>,Parfums de Marly,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,3700578599407,42.31,130.00,1,https://www.mewse.ro/images/produse/parfums-de-marly-oriental-cinnamon-scented-candle-300-g-1682340940.jpg
"parfums-de-marly,-royal-musk,-scented-candle,-300-g","Parfums de Marly, Royal Musk, Scented Candle, 300 g",<p>Parfums de Marly - Regular</p>,Parfums de Marly,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,3700578599506,72.54,130.00,1,https://www.mewse.ro/images/produse/parfums-de-marly-royal-musk-scented-candle-300-g--1673852344.jpg
"parfums-de-marly,-smoky-vetyver,-scented-candle,-300-g","Parfums de Marly, Smoky Vetyver, Scented Candle, 300 g",<p>Parfums de Marly - Regular</p>,Parfums de Marly,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,3700578599100,72.54,130.00,1,https://www.mewse.ro/images/produse/parfums-de-marly-smoky-vetyver-scented-candle-300-g-1682341148.jpg
"tom-ford,-cafe-rose-21,-scented-candle,-5.7-cm","Tom Ford, Cafe Rose 21, Scented Candle, 5.7 cm",<p>Tom Ford - Regular</p>,Tom Ford,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,888066065863,99.78,272.00,11,https://www.mewse.ro/images/produse/tom-ford-cafe-rose-21-scented-candle-5-7-cm-1681303059.jpg
"le-couvent-maison-de-parfum,-ebenus-nobilis,-scented-candle,-190-g","Le Couvent Maison de Parfum, Ebenus Nobilis, Scented Candle, 190 g",<p>Le Couvent Maison de Parfum - Regular</p>,Le Couvent Maison de Parfum,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,3701139900892,10.26,40.00,9,https://www.mewse.ro/images/produse/le-couvent-maison-de-parfum-ebenus-nobilis-scented-candle-190-g-1684923286.png
"le-couvent-maison-de-parfum,-herba-mystica,-scented-candle,-190-g","Le Couvent Maison de Parfum, Herba Mystica, Scented Candle, 190 g",<p>Le Couvent Maison de Parfum - Regular</p>,Le Couvent Maison de Parfum,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,3701139900878,9.41,40.00,7,https://www.mewse.ro/images/produse/le-couvent-maison-de-parfum-herba-mystica-scented-candle-190-g-1684923356.png
"aveda,-tulasara,-peppermint,-blue-chamomile-&-davana,-essential-oil,-aroma-infusion,-30-ml","Aveda, Tulasara, Peppermint, Blue chamomile & Davana, Essential Oil, Aroma Infusion, 30 ml",<p>Aveda - Regular</p>,Aveda,Room Scents / Aromatherapy,"Unisex, Regular, Aromatherapy",TRUE,Title,Default Title,018084961490,17.98,70.29,3,https://www.mewse.ro/images/produse/aveda-tulasara-calming-day-oil-for-face-30-ml--1677746092.png
