Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"benetton,-united-colors-of-benetton,-sunglasses,-purple-oval,-unisex","Benetton, United Colors of Benetton, Sunglasses, Purple Oval, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071090,4.98,45.00,11,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-unisex","Benetton, United Colors of Benetton, Sunglasses, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071113,4.98,45.00,10,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-unisex","Benetton, United Colors of Benetton, Sunglasses, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071182,4.98,45.00,8,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-matte-black-square,-unisex","Benetton, United Colors of Benetton, Sunglasses, Matte Black Square, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071205,4.98,45.00,11,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-white-metal-oval,-unisex","Benetton, United Colors of Benetton, Sunglasses, White Metal Oval, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071038,4.98,45.00,12,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-metallic-gold-oval,-unisex","Benetton, United Colors of Benetton, Sunglasses, Metallic Gold Oval, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071014,4.98,45.00,3,https://www.mewse.ro/images/produse/benetton-united-colors-of-benetton-sunglasses-metallic-gold-oval-unisex-1706952925.jpg
"benetton,-united-colors-of-benetton,-sunglasses,-metallic-gold-oval,-unisex","Benetton, United Colors of Benetton, Sunglasses, Metallic Gold Oval, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071021,4.98,45.00,7,https://www.mewse.ro/images/produse/benetton-united-colors-of-benetton-sunglasses-metallic-gold-oval-unisex-1706952925.jpg
"benetton,-united-colors-of-benetton,-sunglasses,-metallic-gold-oval,-unisex","Benetton, United Colors of Benetton, Sunglasses, Metallic Gold Oval, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071144,4.98,45.00,14,https://www.mewse.ro/images/produse/benetton-united-colors-of-benetton-sunglasses-metallic-gold-oval-unisex-1706952925.jpg
"benetton,-united-colors-of-benetton,-sunglasses,-metallic-gold-oval,-unisex","Benetton, United Colors of Benetton, Sunglasses, Metallic Gold Oval, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071168,4.98,45.00,2,https://www.mewse.ro/images/produse/benetton-united-colors-of-benetton-sunglasses-metallic-gold-oval-unisex-1706952925.jpg
"benetton,-united-colors-of-benetton,-sunglasses,-black-cat`s-eye,-unisex","Benetton, United Colors of Benetton, Sunglasses, Black Cat`s Eye, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071212,4.98,45.00,12,https://www.mewse.ro/images/produse/
