Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty
"acqua-di-parma,-acqua-di-parma,-hair-shampoo,-thickening,-200-ml","Acqua di Parma, Acqua di Parma, Hair Shampoo, Thickening, 200 ml",,Acqua di Parma,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,8028713520334,42.58,5
"burberry,-mr.-burberry,-hair-styling-clay,-medium-hold,-45-g","Burberry, Mr. Burberry, Hair Styling Clay, Medium Hold, 45 g",,Burberry,Hair,"For Men, Hair Styling, Hair Styling Clay",TRUE,Title,Default Title,5045497480428,12.29,18
"cartier,-rex,-empty-cardboard-box","Cartier, Rex, Empty Cardboard Box",,Cartier,Hair,"None, Advertising, Empty Cardboard Box",TRUE,Title,Default Title,2000000065472,3.40,485
"cartier,-cartier,-plastic-display","Cartier, Cartier, Plastic Display",,Cartier,Hair,"Unisex, Salon Supplies, Plastic Display",TRUE,Title,Default Title,2000000072173,9.03,56
"clean,-reserve,-buriti-&-tucuma,-hair-shampoo,-for-moisturizing,-296-ml","Clean, Reserve, Buriti & Tucuma, Hair Shampoo, For Moisturizing, 296 ml",,Clean,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,874034012717,7.49,5
"clean,-reserve,-buriti-&-tucuma,-hair-conditioner,-moisturizing,-296-ml","Clean, Reserve, Buriti & Tucuma, Hair Conditioner, Moisturizing, 296 ml",,Clean,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,874034012724,12.66,6
"clean,-tapioca,-hair-dry-shampoo,-for-volume,-56-g","Clean, Tapioca, Hair Dry Shampoo, For Volume, 56 g",,Clean,Hair,"For Women, Hair Care, Hair Dry Shampoo",TRUE,Title,Default Title,874034012755,12.76,7
"creed,-green-irish-tweed,-shower-gel-&-shampoo-2-in-1,-200-ml","Creed, Green Irish Tweed, Shower Gel & Shampoo 2-In-1, 200 ml",,Creed,Hair,"Unisex, Hair Care, Shower Gel & Shampoo 2-In-1",TRUE,Title,Default Title,3508443107326,44.11,2
"dsquared,-dsquared,-salon-textile-towel,-blue","Dsquared, Dsquared, Salon Textile Towel, Blue",,Dsquared,Hair,"For Women, Salon Supplies, Salon Textile Towel",TRUE,Title,Default Title,0043|8011530999353,19.16,1
"gosh,-musk-oil-no.-6,-hair-shampoo,-250-ml","Gosh, Musk Oil No. 6, Hair Shampoo, 250 ml",,Gosh,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,5701278102117,5.08,20
"gucci,-gucci,-beard-brush","Gucci, Gucci, Beard Brush",,Gucci,Hair,"For Men, Beard Grooming, Beard Brush",TRUE,Title,Default Title,8005610608396,9.54,633
"hermes,-terre-d'hermes,-shower-gel-&-shampoo-2-in-1,-200-ml-*tester","Hermes, Terre d'Hermes, Shower Gel & Shampoo 2-In-1, 200 ml *Tester",,Hermes,Hair,"For Men, Hair Care, Shower Gel & Shampoo 2-In-1",TRUE,Title,Default Title,99000000003223,28.63,4
"hugo-boss,-the-scent,-poster","Hugo Boss, The Scent, Poster",,Hugo Boss,Hair,"None, Advertising, Poster",TRUE,Title,Default Title,8005610671895,4.50,60
"jo-malone,-colone,-100-ml,-empty-cardboard-box","Jo Malone, Colone, 100 ml, Empty Cardboard Box",,Jo Malone,Hair,"None, Advertising, Empty Cardboard Box",TRUE,Title,Default Title,690251023448,6.62,85
"lancaster,-sun,-salon-textile-towel","Lancaster, Sun, Salon Textile Towel",,Lancaster,Hair,"For Women, Salon Supplies, Salon Textile Towel",TRUE,Title,Default Title,3614225432927,11.17,120
"moroccanoil,-hydration,-paraben-free,-hair-shampoo,-moisture-and-shine,-70-ml","Moroccanoil, Hydration, Paraben-Free, Hair Shampoo, Moisture And Shine, 70 ml",,Moroccanoil,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,7290011521790,6.87,55
"moroccanoil,-hydration,-paraben-free,-hair-conditioner,-moisture-and-shine,-250-ml","Moroccanoil, Hydration, Paraben-Free, Hair Conditioner, Moisture And Shine, 250 ml",,Moroccanoil,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,7290011521837,13.04,2
"moroccanoil,-hydration,-argan-oil,-hair-styling-cream,-soft-hold,-300-ml","Moroccanoil, Hydration, Argan Oil, Hair Styling Cream, Soft Hold, 300 ml",,Moroccanoil,Hair,"For Women, Hair Styling, Hair Styling Cream",TRUE,Title,Default Title,7290011521028,21.00,20
"moroccanoil,-repair,-paraben-free,-hair-conditioner,-moisturizing,-250-ml","Moroccanoil, Repair, Paraben-Free, Hair Conditioner, Moisturizing, 250 ml",,Moroccanoil,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,7290011521202,15.98,1
"moroccanoil,-smooth,-argan-oil,-hair-styling-lotion,-300-ml","Moroccanoil, Smooth, Argan Oil, Hair Styling Lotion, 300 ml",,Moroccanoil,Hair,"For Women, Hair Styling, Hair Styling Lotion",TRUE,Title,Default Title,7290014827998,25.95,25
"moroccanoil,-smooth,-argan-oil,-hair-treatment-cream-mask,-for-hydration,-1000-ml","Moroccanoil, Smooth, Argan Oil, Hair Treatment Cream Mask, For Hydration, 1000 ml",,Moroccanoil,Hair,"For Women, Hair Care, Hair Treatment Cream Mask",TRUE,Title,Default Title,7290014344976,63.06,17
"moroccanoil,-style,-argan-oil,-hair-styling-cream,-flexible-hold,-100-ml","Moroccanoil, Style, Argan Oil, Hair Styling Cream, Flexible Hold, 100 ml",,Moroccanoil,Hair,"For Women, Hair Styling, Hair Styling Cream",TRUE,Title,Default Title,0043|7290014344631,21.90,3
"moroccanoil,-finish,-argan-oil,-hair-spray,-for-shine,-100-ml","Moroccanoil, Finish, Argan Oil, Hair Spray, For Shine, 100 ml",,Moroccanoil,Hair,"For Women, Hair Styling, Hair Spray",TRUE,Title,Default Title,7290011521134,15.95,47
"moroccanoil,-color-complete,-argan-oil,-hair-spray-treatment,-hydrate-&-protect,-160-ml","Moroccanoil, Color Complete, Argan Oil, Hair Spray Treatment, Hydrate & Protect, 160 ml",,Moroccanoil,Hair,"For Women, Hair Care, Hair Spray Treatment",TRUE,Title,Default Title,7290017279077,15.87,44
"moroccanoil,-color-complete,-argan-oil,-post-colour-treatment-lotion,-repairs/protects-&-seals,-1000-ml","Moroccanoil, Color Complete, Argan Oil, Post Colour Treatment Lotion, Repairs/Protects & Seals, 1000 ml",,Moroccanoil,Hair,"For Women, Hair Care, Post Colour Treatment Lotion",TRUE,Title,Default Title,7290017279091,61.07,5
"moroccanoil,-color-complete,-argan-oil,-pre-colour-treatment-lotion,-hydrate-&-protect,-160-ml","Moroccanoil, Color Complete, Argan Oil, Pre Colour Treatment Lotion, Hydrate & Protect, 160 ml",,Moroccanoil,Hair,"For Women, Hair Care, Pre Colour Treatment Lotion",TRUE,Title,Default Title,7290017279084,29.79,3
"moroccanoil,-color-complete,-paraben-free,-hair-conditioner,-repairs/protects-&-seals,-250-ml","Moroccanoil, Color Complete, Paraben-Free, Hair Conditioner, Repairs/Protects & Seals, 250 ml",,Moroccanoil,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,7290016966954,14.22,2
"moroccanoil,-curl,-argan-oil,-hair-styling-mousse,-curl-control,-natural-hold,-150-ml","Moroccanoil, Curl, Argan Oil, Hair Styling Mousse, Curl Control, Natural Hold, 150 ml",,Moroccanoil,Hair,"For Women, Hair Styling, Hair Styling Mousse",TRUE,Title,Default Title,7290011521448,15.95,11
"moroccanoil,-finish-luminous,-argan-oil,-hair-spray,-natural-look,-medium-hold,-330-ml","Moroccanoil, Finish Luminous, Argan Oil, Hair Spray, Natural Look, Medium Hold, 330 ml",,Moroccanoil,Hair,"For Women, Hair Styling, Hair Spray",TRUE,Title,Default Title,7290011521592,14.78,5
"moroccanoil,-color-complete,-argan-oil,-post-colour-treatment-lotion,-repairs/protects-&-seals,-500-ml","Moroccanoil, Color Complete, Argan Oil, Post Colour Treatment Lotion, Repairs/Protects & Seals, 500 ml",,Moroccanoil,Hair,"For Women, Hair Care, Post Colour Treatment Lotion",TRUE,Title,Default Title,7290017279107,34.53,2
"moroccanoil,-hydration,-argan-oil,-hair-treatment-cream-mask,-restores-elasticity,-250-ml","Moroccanoil, Hydration, Argan Oil, Hair Treatment Cream Mask, Restores Elasticity, 250 ml",,Moroccanoil,Hair,"For Women, Hair Care, Hair Treatment Cream Mask",TRUE,Title,Default Title,7290011521004,25.12,45
"moroccanoil,-smooth,-argan-oil,-hair-treatment-cream-mask,-for-smoothening,-250-ml","Moroccanoil, Smooth, Argan Oil, Hair Treatment Cream Mask, For Smoothening, 250 ml",,Moroccanoil,Hair,"For Women, Hair Care, Hair Treatment Cream Mask",TRUE,Title,Default Title,7290014344969,25.22,49
"moroccanoil,-volume,-paraben-free,-hair-conditioner,-moisture-&-volume,-70-ml","Moroccanoil, Volume, Paraben-Free, Hair Conditioner, Moisture & Volume, 70 ml",,Moroccanoil,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,7290013627513,6.87,34
"moroccanoil,-hydration,-paraben-free,-hair-conditioner,-moisture-and-shine,-70-ml","Moroccanoil, Hydration, Paraben-Free, Hair Conditioner, Moisture And Shine, 70 ml",,Moroccanoil,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,7290011521820,6.53,28
"moroccanoil,-color-care-blonde-perfecting-purple,-paraben-free,-hair-conditioner,-nourishes-and-enhances-tone,-70-ml","Moroccanoil, Color Care Blonde Perfecting Purple, Paraben-Free, Hair Conditioner, Nourishes And Enhances Tone, 70 ml",,Moroccanoil,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,7290113145269,5.82,51
"moroccanoil,-smooth,-argan-oil,-hair-styling-lotion,-75-ml","Moroccanoil, Smooth, Argan Oil, Hair Styling Lotion, 75 ml",,Moroccanoil,Hair,"For Women, Hair Styling, Hair Styling Lotion",TRUE,Title,Default Title,7290011521479,8.58,32
"moroccanoil,-color-care-blonde-perfecting-purple,-paraben-free,-hair-shampoo,-neutralizes-brassiness,-200-ml","Moroccanoil, Color Care Blonde Perfecting Purple, Paraben-Free, Hair Shampoo, Neutralizes Brassiness, 200 ml",,Moroccanoil,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,7290113140035,15.69,4
"moroccanoil,-color-care-blonde-perfecting-purple,-paraben-free,-hair-shampoo,-neutralizes-brassiness,-70-ml","Moroccanoil, Color Care Blonde Perfecting Purple, Paraben-Free, Hair Shampoo, Neutralizes Brassiness, 70 ml",,Moroccanoil,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,7290113140042,5.75,61
"moroccanoil,-repair,-paraben-free,-hair-conditioner,-for-moisturizing,-70-ml","Moroccanoil, Repair, Paraben-Free, Hair Conditioner, For Moisturizing, 70 ml",,Moroccanoil,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,7290011521967,7.06,70
"moroccanoil,-repair,-paraben-free,-hair-shampoo,-for-moisturizing,-70-ml","Moroccanoil, Repair, Paraben-Free, Hair Shampoo, For Moisturizing, 70 ml",,Moroccanoil,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,7290011521950,6.49,56
"moroccanoil,-scalp-balance,-argan-oil,-scalp-treatment-oil,-for-purifying,-45-ml","Moroccanoil, Scalp Balance, Argan Oil, Scalp Treatment Oil, For Purifying, 45 ml",,Moroccanoil,Hair,"For Women, Hair Care, Scalp Treatment Oil",TRUE,Title,Default Title,7290011521172,21.27,22
"moroccanoil,-volume,-argan-oil,-hair-spray,-for-volume-&-texture,-flexible-hold,-160-ml","Moroccanoil, Volume, Argan Oil, Hair Spray, For Volume & Texture, Flexible Hold, 160 ml",,Moroccanoil,Hair,"For Women, Hair Styling, Hair Spray",TRUE,Title,Default Title,7290113142978,16.04,3
"moroccanoil,-smooth,-argan-oil,-hair-styling-lotion,-75-ml","Moroccanoil, Smooth, Argan Oil, Hair Styling Lotion, 75 ml",,Moroccanoil,Hair,"For Women, Hair Styling, Hair Styling Lotion",TRUE,Title,Default Title,7290015295000,9.13,15
"l'occitane-en-provence,-aromachology,-hair-shampoo,-for-repairing,-75-ml","L'Occitane en Provence, Aromachology, Hair Shampoo, For Repairing, 75 ml",,L`Occitane en Provence,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,3253581337134,3.44,6
"l'occitane-en-provence,-aromachologie-intensive,-hair-treatment-cream-mask,-for-repairing,-200-ml","L'Occitane en Provence, Aromachologie Intensive, Hair Treatment Cream Mask, For Repairing, 200 ml",,L`Occitane en Provence,Hair,"For Women, Hair Care, Hair Treatment Cream Mask",TRUE,Title,Default Title,3253581535288,36.18,9
"melvita,-expert-color-&-scalp-,-organic,-hair-shampoo,-for-strengthening,-6-ml-*sample","Melvita, Expert Color & Scalp , Organic, Hair Shampoo, For Strengthening, 6 ml *Sample",,Melvita,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,3284410043025,0.82,36
"melvita,-expert-color-&-scalp-,-organic,-hair-shampoo,-for-strengthening,-200-ml-*tester","Melvita, Expert Color & Scalp , Organic, Hair Shampoo, For Strengthening, 200 ml *Tester",,Melvita,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,3284410043216,2.31,1
"melvita,-expert-color-&-care,-organic,-hair-conditioner,-for-hydration,-150-ml-*tester","Melvita, Expert Color & Care, Organic, Hair Conditioner, For Hydration, 150 ml *Tester",,Melvita,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,3284410043223,3.95,1
"molton-brown,-nurturing,-cloudberry,-hair-conditioner,-for-nourishing,-300-ml","Molton Brown, Nurturing, Cloudberry, Hair Conditioner, For Nourishing, 300 ml",,Molton Brown,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,0043|008080060204,17.00,8
"molton-brown,-indian-cress,-hair-conditioner,-for-purifying,-100-ml","Molton Brown, Indian Cress, Hair Conditioner, For Purifying, 100 ml",,Molton Brown,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,008080089427,5.41,1009
"molton-brown,-purifying,-indian-cress,-hair-conditioner,-for-purifying,-5000-ml","Molton Brown, Purifying, Indian Cress, Hair Conditioner, For Purifying, 5000 ml",,Molton Brown,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,008080097842,180.00,7
"molton-brown,-mandarin-&-clary-sage,-hair-conditioner,-for-repairing,-5000-ml","Molton Brown, Mandarin & Clary Sage, Hair Conditioner, For Repairing, 5000 ml",,Molton Brown,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,008080099327,179.99,8
"molton-brown,-molton-brown,-kumudu,-hair-shampoo,-for-volume,-50-ml","Molton Brown, Molton Brown, Kumudu, Hair Shampoo, For Volume, 50 ml",,Molton Brown,Hair,"Unisex, Hair Care, Hair Shampoo",TRUE,Title,Default Title,008080083470,3.24,2148
"molton-brown,-mandarin-&-clary-sage,-hair-conditioner,-for-repairing,-30-ml","Molton Brown, Mandarin & Clary Sage, Hair Conditioner, For Repairing, 30 ml",,Molton Brown,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,008080099082,2.52,122
"molton-brown,-mandarin-&-clary-sage,-hair-shampoo,-for-repairing,-50-ml","Molton Brown, Mandarin & Clary Sage, Hair Shampoo, For Repairing, 50 ml",,Molton Brown,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,008080083432,3.24,963
"molton-brown,-mandarin-&-clary-sage,-hair-shampoo,-for-volume,-30-ml","Molton Brown, Mandarin & Clary Sage, Hair Shampoo, For Volume, 30 ml",,Molton Brown,Hair,"Unisex, Hair Care, Hair Shampoo",TRUE,Title,Default Title,008080099068,2.16,1188
"molton-brown,-molton-brown,-kumudu,-hair-conditioner,-for-volume,-30-ml","Molton Brown, Molton Brown, Kumudu, Hair Conditioner, For Volume, 30 ml",,Molton Brown,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,0043|008080082572,3.75,6
"molton-brown,-molton-brown,-kumudu,-hair-conditioner,-for-volume,-30-ml","Molton Brown, Molton Brown, Kumudu, Hair Conditioner, For Volume, 30 ml",,Molton Brown,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,008080082572,2.52,2939
"molton-brown,-kumudu,-hair-conditioner,-for-volume,-50-ml","Molton Brown, Kumudu, Hair Conditioner, For Volume, 50 ml",,Molton Brown,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,008080083494,3.59,2849
"molton-brown,-molton-brown,-kumudu,-hair-shampoo,-for-volume,-30-ml","Molton Brown, Molton Brown, Kumudu, Hair Shampoo, For Volume, 30 ml",,Molton Brown,Hair,"Unisex, Hair Care, Hair Shampoo",TRUE,Title,Default Title,008080082619,2.38,3419
"molton-brown,-indian-cress,-hair-conditioner,-for-purifying,-50-ml","Molton Brown, Indian Cress, Hair Conditioner, For Purifying, 50 ml",,Molton Brown,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,008080083456,3.59,3298
"molton-brown,-indian-cress,-hair-conditioner,-for-purifying,-30-ml","Molton Brown, Indian Cress, Hair Conditioner, For Purifying, 30 ml",,Molton Brown,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,008080082596,2.52,6204
"molton-brown,-kumudu,-hair-conditioner,-for-volume,-100-ml","Molton Brown, Kumudu, Hair Conditioner, For Volume, 100 ml",,Molton Brown,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,008080058829,5.41,1033
"molton-brown,-kumudu,-hair-shampoo,-for-volume,-5000-ml","Molton Brown, Kumudu, Hair Shampoo, For Volume, 5000 ml",,Molton Brown,Hair,"Unisex, Hair Care, Hair Shampoo",TRUE,Title,Default Title,008080097828,137.90,7
"molton-brown,-kumudu,-hair-conditioner,-for-volume,-5000-ml","Molton Brown, Kumudu, Hair Conditioner, For Volume, 5000 ml",,Molton Brown,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,008080097866,233.50,3
"molton-brown,-indian-cress,-hair-shampoo,-for-purifying,-100-ml","Molton Brown, Indian Cress, Hair Shampoo, For Purifying, 100 ml",,Molton Brown,Hair,"Unisex, Hair Care, Hair Shampoo",TRUE,Title,Default Title,008080089823,5.05,797
"molton-brown,-purifying,-indian-cress,-hair-conditioner,-for-purifying,-300-ml","Molton Brown, Purifying, Indian Cress, Hair Conditioner, For Purifying, 300 ml",,Molton Brown,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,008080060167,10.62,9
"molton-brown,-purifying,-hair-shampoo,-for-nourishing,-5000-ml","Molton Brown, Purifying, Hair Shampoo, For Nourishing, 5000 ml",,Molton Brown,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,888000000000096,105.54,1
"molton-brown,-molton-brown,-pump-dispenser,-300-ml","Molton Brown, Molton Brown, Pump Dispenser, 300 ml",,Molton Brown,Hair,"Unisex, Salon Supplies, Pump Dispenser",TRUE,Title,Default Title,55808731,12.90,7
"molton-brown,-indian-cress,-hair-shampoo,-for-purifying,-50-ml","Molton Brown, Indian Cress, Hair Shampoo, For Purifying, 50 ml",,Molton Brown,Hair,"Unisex, Hair Care, Hair Shampoo",TRUE,Title,Default Title,008080082633,2.16,3001
"molton-brown,-kumudu,-hair-conditioner,-for-volume,-5000-ml","Molton Brown, Kumudu, Hair Conditioner, For Volume, 5000 ml",,Molton Brown,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,0055940131,179.99,6
"molton-brown,-mandarin-&-clary-sage,-pump-dispenser,-duo","Molton Brown, Mandarin & Clary Sage, Pump Dispenser, Duo",,Molton Brown,Hair,"Unisex, Salon Supplies, Pump Dispenser",TRUE,Title,Default Title,008080108401,18.48,22
"molton-brown,-molton-brown,-salon-textile-towel,-white","Molton Brown, Molton Brown, Salon Textile Towel, White",,Molton Brown,Hair,"For Women, Salon Supplies, Salon Textile Towel",TRUE,Title,Default Title,520123450149,2.23,70
"molton-brown,-mer-rouge,-red-dulse-seaweed,-hair-treatment-cream-mask,-for-conditioning,-200-ml","Molton Brown, Mer-rouge, Red Dulse Seaweed, Hair Treatment Cream Mask, For Conditioning, 200 ml",,Molton Brown,Hair,"For Women, Hair Care, Hair Treatment Cream Mask",TRUE,Title,Default Title,008080036490,8.69,1
"nuxe,-sun,-hair-shampoo,-after-sun---cleansing,-200-ml","Nuxe, Sun, Hair Shampoo, After Sun - Cleansing, 200 ml",,Nuxe,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,0035|3264680008726,4.75,322
"nuxe,-sun,-hair-shampoo,-after-sun---cleansing,-200-ml","Nuxe, Sun, Hair Shampoo, After Sun - Cleansing, 200 ml",,Nuxe,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,3264680008726,5.63,14
"set-nuxe:-prodigieux,-hair-shampoo,-for-shine,-200-ml-+-prodigieux,-hair-conditioner,-for-shine,-200-ml-+-prodigieux-le-masque,-hair-oil-treatment,-for-nourishing,-30-ml","Set Nuxe: Prodigieux, Hair Shampoo, For Shine, 200 ml + Prodigieux, Hair Conditioner, For Shine, 200 ml + Prodigieux Le Masque, Hair Oil Treatment, For Nourishing, 30 ml",,Nuxe,Hair,"For Women, Hair Care Sets, Hair Care Set",TRUE,Title,Default Title,0035|3264680041105,18.48,6
"nuxe,-prodigieux,-hair-shampoo,-for-shine,-30-ml","Nuxe, Prodigieux, Hair Shampoo, For Shine, 30 ml",,Nuxe,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,0035|3264680038426,4.72,1091
"nuxe,-prodigieux,-hair-leave-in-cream-treatment,-intensive-nourishing,-100-ml","Nuxe, Prodigieux, Hair Leave-In Cream Treatment, Intensive Nourishing, 100 ml",,Nuxe,Hair,"For Women, Hair Care, Hair Leave-In Cream Treatment",TRUE,Title,Default Title,0035|3264680039898,12.61,264
"nuxe,-prodigieux,-hair-brush,-pink,-detangle","Nuxe, Prodigieux, Hair Brush, Pink, Detangle",,Nuxe,Hair,"For Women, Hair Accessories, Hair Brush",TRUE,Title,Default Title,0035|3264680038945,7.60,500
"weleda,-baby,-shower-gel-&-shampoo-2-in-1,-calendula,-3-ml-*sample","Weleda, Baby, Shower Gel & Shampoo 2-In-1, Calendula, 3 ml *Sample",,Weleda,Hair,"Unisex, Hair Care, Shower Gel & Shampoo 2-In-1",TRUE,Title,Default Title,990000000000164,0.41,60
"vichy,-dercos,-hair-shampoo,-anti-dandruff,-7-ml-*sample","Vichy, Dercos, Hair Shampoo, Anti-Dandruff, 7 ml *Sample",,Vichy,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,990000000000156,1.04,6
"vichy,-dercos,-hair-shampoo,-for-regeneration,-7-ml-*sample","Vichy, Dercos, Hair Shampoo, For Regeneration, 7 ml *Sample",,Vichy,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,3337871326784,1.01,6
"vichy,-dercos,-hair-shampoo,-for-revitalisation,-7-ml-*sample","Vichy, Dercos, Hair Shampoo, For Revitalisation, 7 ml *Sample",,Vichy,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,3337875574402,0.78,13
"collistar,-after-sun,-shower-gel-&-shampoo-2-in-1,-400-ml","Collistar, After Sun, Shower Gel & Shampoo 2-In-1, 400 ml",,Collistar,Hair,"For Women, Hair Care, Shower Gel & Shampoo 2-In-1",TRUE,Title,Default Title,8015150260107,10.94,9
"wella-professionals,-wella-professionals,-hair-colour-chart","Wella Professionals, Wella Professionals, Hair Colour Chart",,Wella Professionals,Hair,"For Women, Salon Supplies, Hair Colour Chart",TRUE,Title,Default Title,8005610380414,38.21,2
"wella-professionals,-wella-professionals,-hair-colour-chart","Wella Professionals, Wella Professionals, Hair Colour Chart",,Wella Professionals,Hair,"For Women, Salon Supplies, Hair Colour Chart",TRUE,Title,Default Title,4084500942813,38.21,2
"wella-professionals,-eimi-texture-ocean-spritz,-salt-spray,-for-hydration,-medium-hold,-150-ml","Wella Professionals, Eimi Texture Ocean Spritz, Salt Spray, For Hydration, Medium Hold, 150 ml",,Wella Professionals,Hair,"For Women, Hair Styling, Salt Spray",TRUE,Title,Default Title,8005610587684,5.03,41
"wella-professionals,-koleston-perfect-special-mix-me+,-permanent-hair-dye,-0/66-intense-violet,-60-ml","Wella Professionals, Koleston Perfect Special Mix Me+, Permanent Hair Dye, 0/66 Intense Violet, 60 ml",,Wella Professionals,Hair,"For Women, Hair Colouring, Permanent Hair Dye",TRUE,Title,Default Title,8005610657028,4.20,120
"wella-professionals,-koleston-perfect-me+,-permanent-hair-dye,-33/0-dark-chestnut-intense,-60-ml","Wella Professionals, Koleston Perfect Me+, Permanent Hair Dye, 33/0 Dark Chestnut Intense, 60 ml",,Wella Professionals,Hair,"For Women, Hair Colouring, Permanent Hair Dye",TRUE,Title,Default Title,8005610655024,4.76,21
"wella-professionals,-koleston-perfect-me+,-permanent-hair-dye,-4/3-medium-chestnut-golden,-60-ml","Wella Professionals, Koleston Perfect Me+, Permanent Hair Dye, 4/3 Medium Chestnut Golden, 60 ml",,Wella Professionals,Hair,"For Women, Hair Colouring, Permanent Hair Dye",TRUE,Title,Default Title,8005610657448,3.55,7
"wella-professionals,-koleston-perfect-me+,-permanent-hair-dye,-6/43-dark-blonde-golden-red,-60-ml","Wella Professionals, Koleston Perfect Me+, Permanent Hair Dye, 6/43 Dark Blonde Golden Red, 60 ml",,Wella Professionals,Hair,"For Women, Hair Colouring, Permanent Hair Dye",TRUE,Title,Default Title,8005610647326,4.21,28
"wella-professionals,-wella-professionals,-pump-dispenser,-black","Wella Professionals, Wella Professionals, Pump Dispenser, Black",,Wella Professionals,Hair,"Unisex, Salon Supplies, Pump Dispenser",TRUE,Title,Default Title,990000000000825,1.31,6
"wella-professionals,-invigo-color-brilliance,-lime-caviar,-hair-treatment-cream-mask,-for-colour-protection,-30-ml","Wella Professionals, Invigo Color Brilliance, Lime Caviar, Hair Treatment Cream Mask, For Colour Protection, 30 ml",,Wella Professionals,Hair,"For Women, Hair Care, Hair Treatment Cream Mask",TRUE,Title,Default Title,8005610633800,2.39,1
"wella-professionals,-wella-professionals,-hair-colour-chart","Wella Professionals, Wella Professionals, Hair Colour Chart",,Wella Professionals,Hair,"For Women, Salon Supplies, Hair Colour Chart",TRUE,Title,Default Title,0043|3614226520586,67.43,1
"wella-professionals,-wella-professionals,-hair-colour-chart","Wella Professionals, Wella Professionals, Hair Colour Chart",,Wella Professionals,Hair,"For Women, Salon Supplies, Hair Colour Chart",TRUE,Title,Default Title,3614226520586,59.13,2
"wella-professionals,-wella-professionals,-plastic-colour-mixing-bowl,-black-violet","Wella Professionals, Wella Professionals, Plastic Colour Mixing Bowl, Black Violet",,Wella Professionals,Hair,"Unisex, Salon Supplies, Plastic Colour Mixing Bowl",TRUE,Title,Default Title,4015600101909,16.54,3
"wella-professionals,-invigo-color-brilliance,-lime-caviar,-hair-conditioner,-for-colour-protection,-15-ml","Wella Professionals, Invigo Color Brilliance, Lime Caviar, Hair Conditioner, For Colour Protection, 15 ml",,Wella Professionals,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,990000000000823,0.22,8
