Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"molton-brown,-mouthwash,-breath-freshener,-30-ml","Molton Brown, Mouthwash, Breath Freshener, 30 ml",<p>Molton Brown - Regular</p>,Molton Brown,Oral Care / Mouthwashes & Mouth Sprays,"Unisex, Regular, Mouthwashes & Mouth Sprays",TRUE,Title,Default Title,008080082558,1.44,4.00,1888,https://www.mewse.ro/images/produse/molton-brown-mouthwash-breath-freshener-30-ml-0-008080082558-1675675249.jpg
"molton-brown,-mouthwash,-breath-freshener,-50-ml","Molton Brown, Mouthwash, Breath Freshener, 50 ml",<p>Molton Brown - Regular</p>,Molton Brown,Oral Care / Mouthwashes & Mouth Sprays,"Unisex, Regular, Mouthwashes & Mouth Sprays",TRUE,Title,Default Title,008080083418,2.16,6.00,874,https://www.mewse.ro/images/produse/molton-brown-mouthwash-complete-protection-50-ml-0-008080083418-1674205350.jpg
"dental-kit-luxury-collection-set-molton-brown:-molton-brown,-toothbrush-+-molton-brown,-refreshing,-toothpaste","Dental Kit Luxury Collection Set Molton Brown: Molton Brown, Toothbrush + Molton Brown, Refreshing, Toothpaste",<p>Molton Brown - Regular</p>,Molton Brown,Oral Care / Toothpastes,"Unisex, Regular, Toothpastes",TRUE,Title,Default Title,8080115614,3.58,9.00,89,https://www.mewse.ro/images/produse/dental-kit-luxury-collection-set-molton-brown-molton-brown-toothbrush-molton-brown-toothpaste-refreshing-1679747595.jpg
