Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"pet-teezer,-de-shedding-&-dog-grooming,-pet-brush,-black","Pet Teezer, De-Shedding & Dog Grooming, Pet Brush, Black",<p>Pet Teezer - Regular</p>,Pet Teezer,Pets / Brushes & Accessories,"Unisex, Regular, Brushes & Accessories",TRUE,Title,Default Title,5060173378356,8.17,16.33,33,https://www.mewse.ro/images/produse/pet-teezer-de-shedding-dog-grooming-pet-brush-black-1738135354.jpg
"pet-teezer,-de-shedding-&-dog-grooming,-pet-brush,-orange","Pet Teezer, De-Shedding & Dog Grooming, Pet Brush, Orange",<p>Pet Teezer - Regular</p>,Pet Teezer,Pets / Brushes & Accessories,"Unisex, Regular, Brushes & Accessories",TRUE,Title,Default Title,5060630040161,8.17,16.33,33,https://www.mewse.ro/images/produse/pet-teezer-de-shedding-dog-grooming-pet-brush-orange-1738135424.jpg
"pet-teezer,-de-shedding-&-dog-grooming,-pet-brush,-lilac","Pet Teezer, De-Shedding & Dog Grooming, Pet Brush, Lilac",<p>Pet Teezer - Regular</p>,Pet Teezer,Pets / Brushes & Accessories,"None, Regular, Brushes & Accessories",TRUE,Title,Default Title,5060630041717,6.49,16.33,12,https://www.mewse.ro/images/produse/pet-teezer-de-shedding-dog-grooming-brush-detangler-brush-for-dogs-lilac-1683985302.jpg
"pet-teezer,-de-shedding-&-dog-grooming,-pet-brush,-blue","Pet Teezer, De-Shedding & Dog Grooming, Pet Brush, Blue",<p>Pet Teezer - Regular</p>,Pet Teezer,Pets / Brushes & Accessories,"None, Regular, Brushes & Accessories",TRUE,Title,Default Title,5060630041694,8.17,16.33,54,https://www.mewse.ro/images/produse/pet-teezer-de-shedding-dog-grooming-brush-detangler-brush-for-dogs-blue-1683985546.jpg
