Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"valentino,-army-edition,-glasses-case","Valentino, Army Edition, Glasses Case",<p>Valentino - Regular</p>,Valentino,Clothing / Acessories,"For Women, Regular, Acessories",TRUE,Title,Default Title,99000000006163,12.08,36.00,1,https://www.mewse.ro/images/produse/
"valentino,-valentino,-glasses-case,-black","Valentino, Valentino, Glasses Case, Black",<p>Valentino - Regular</p>,Valentino,Clothing / Acessories,"For Women, Regular, Acessories",TRUE,Title,Default Title,99000000006155,12.08,36.00,10,https://www.mewse.ro/images/produse/valentino-valentino-glasses-case-black--1677670564.jpg
"yves-saint-laurent,-yves-saint-laurent,-glasses-case,-white","Yves Saint Laurent, Yves Saint Laurent, Glasses Case, White",<p>Yves Saint Laurent - Regular</p>,Yves Saint Laurent,Clothing / Acessories,"For Women, Regular, Acessories",TRUE,Title,Default Title,99000000006164,22.21,72.00,1,https://www.mewse.ro/images/produse/yves-saint-laurent-ysl-paris-l-edition-venini-glasses-case-white-1678818507.jpg
"dermalogica,-dermalogica,-woman-textile-robe,-grey,-size-l","Dermalogica, Dermalogica, Woman Textile Robe, Grey, Size L",<p>Dermalogica - Regular</p>,Dermalogica,Clothing / Professional Apparel & Accessories,"Unisex, Regular, Professional Apparel & Accessories",TRUE,Title,Default Title,0037|22000000000129,12.81,0.00,3,https://www.mewse.ro/images/produse/
"dermalogica,-dermalogica,-woman-textile-robe,-grey,-size-m","Dermalogica, Dermalogica, Woman Textile Robe, Grey, Size M",<p>Dermalogica - Regular</p>,Dermalogica,Clothing / Professional Apparel & Accessories,"Unisex, Regular, Professional Apparel & Accessories",TRUE,Title,Default Title,0037|22000000000128,12.81,0.00,5,https://www.mewse.ro/images/produse/
"dermalogica,-dermalogica,-woman-textile-robe,-grey,-size-s","Dermalogica, Dermalogica, Woman Textile Robe, Grey, Size S",<p>Dermalogica - Regular</p>,Dermalogica,Clothing / Professional Apparel & Accessories,"Unisex, Regular, Professional Apparel & Accessories",TRUE,Title,Default Title,0037|22000000000127,12.81,0.00,4,https://www.mewse.ro/images/produse/
"dermalogica,-dermalogica,-short-sleeve,-unisex-textile-t-shirt,-white,-unisex,-size-5","Dermalogica, Dermalogica, Short Sleeve, Unisex Textile T-Shirt, White, Unisex, Size 5",<p>Dermalogica - Regular</p>,Dermalogica,Clothing / Tops,"Unisex, Regular, Tops",TRUE,Title,Default Title,0037|22000000000116,12.81,60.00,132,https://www.mewse.ro/images/produse/
"dermalogica,-dermalogica,-short-sleeve,-unisex-textile-t-shirt,-grey,-unisex,-size-7","Dermalogica, Dermalogica, Short Sleeve, Unisex Textile T-Shirt, Grey, Unisex, Size 7",<p>Dermalogica - Regular</p>,Dermalogica,Clothing / Tops,"Unisex, Regular, Tops",TRUE,Title,Default Title,0037|22000000000121,12.81,60.00,61,https://www.mewse.ro/images/produse/
"dermalogica,-dermalogica,-short-sleeve,-unisex-textile-t-shirt,-grey,-unisex,-size-5","Dermalogica, Dermalogica, Short Sleeve, Unisex Textile T-Shirt, Grey, Unisex, Size 5",<p>Dermalogica - Regular</p>,Dermalogica,Clothing / Tops,"Unisex, Regular, Tops",TRUE,Title,Default Title,0037|22000000000122,12.81,60.00,115,https://www.mewse.ro/images/produse/
"dermalogica,-dermalogica,-short-sleeve,-unisex-textile-t-shirt,-grey,-unisex,-size-3","Dermalogica, Dermalogica, Short Sleeve, Unisex Textile T-Shirt, Grey, Unisex, Size 3",<p>Dermalogica - Regular</p>,Dermalogica,Clothing / Tops,"Unisex, Regular, Tops",TRUE,Title,Default Title,0037|22000000000123,12.81,60.00,61,https://www.mewse.ro/images/produse/
"dermalogica,-dermalogica,-short-sleeve,-unisex-textile-t-shirt,-grey,-unisex,-size-4","Dermalogica, Dermalogica, Short Sleeve, Unisex Textile T-Shirt, Grey, Unisex, Size 4",<p>Dermalogica - Regular</p>,Dermalogica,Clothing / Tops,"Unisex, Regular, Tops",TRUE,Title,Default Title,0037|22000000000124,12.81,60.00,78,https://www.mewse.ro/images/produse/
"dermalogica,-dermalogica,-short-sleeve,-unisex-textile-t-shirt,-grey,-unisex,-size-6","Dermalogica, Dermalogica, Short Sleeve, Unisex Textile T-Shirt, Grey, Unisex, Size 6",<p>Dermalogica - Regular</p>,Dermalogica,Clothing / Tops,"Unisex, Regular, Tops",TRUE,Title,Default Title,0037|22000000000125,12.81,60.00,100,https://www.mewse.ro/images/produse/
"dermalogica,-dermalogica,-short-sleeve,-unisex-textile-t-shirt,-white,-unisex,-size-7","Dermalogica, Dermalogica, Short Sleeve, Unisex Textile T-Shirt, White, Unisex, Size 7",<p>Dermalogica - Regular</p>,Dermalogica,Clothing / Tops,"Unisex, Regular, Tops",TRUE,Title,Default Title,0037|22000000000115,12.81,60.00,126,https://www.mewse.ro/images/produse/
"dermalogica,-dermalogica,-short-sleeve,-unisex-textile-t-shirt,-white,-unisex,-size-4","Dermalogica, Dermalogica, Short Sleeve, Unisex Textile T-Shirt, White, Unisex, Size 4",<p>Dermalogica - Regular</p>,Dermalogica,Clothing / Tops,"Unisex, Regular, Tops",TRUE,Title,Default Title,0037|22000000000118,12.81,60.00,115,https://www.mewse.ro/images/produse/
