Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"acqua-di-parma,-note-di-colonia-i,-eau-de-cologne,-for-men,-individual,-150-ml","Acqua di Parma, Note di Colonia I, Eau De Cologne, For Men, Individual, 150 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfumes,"For Men, Regular, Perfumes",TRUE,Title,Default Title,8028713290015,284.95,490.00,19,https://www.mewse.ro/images/produse/acqua-di-parma-note-di-colonia-i-eau-de-cologne-for-men-100-ml-0-8028713290015-1668778169.jpg
"acqua-di-parma,-mirto-di-panarea-forte,-eau-de-toilette,-for-women,-100-ml","Acqua di Parma, Mirto Di Panarea Forte, Eau De Toilette, For Women, 100 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfumes,"For Women, Regular, Perfumes",TRUE,Title,Default Title,8028713570759,88.23,145.60,173,https://www.mewse.ro/images/produse/acqua-di-parma-mirto-di-panarea-forte-eau-de-toilette-for-women-100-ml-1719995773.jpg
"acqua-di-parma,-signatures-of-the-sun---sakura,-eau-de-parfum,-unisex,-100-ml","Acqua di Parma, Signatures Of The Sun - Sakura, Eau De Parfum, Unisex, 100 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfumes,"Unisex, Regular, Perfumes",TRUE,Title,Default Title,8028713810312,169.93,295.00,22,https://www.mewse.ro/images/produse/acqua-di-parma-signatures-of-the-sun-sakura-eau-de-parfum-unisex-100-ml-1-8028713810312-1668778322.jpg
"acqua-di-parma,-blu-mediterraneo-arancia-di-capri,-eau-de-toilette,-for-men,-30-ml","Acqua di Parma, Blu Mediterraneo Arancia di Capri, Eau De Toilette, For Men, 30 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfumes,"For Men, Regular, Perfumes",TRUE,Title,Default Title,8028713570261,36.86,63.00,1,https://www.mewse.ro/images/produse/acqua-di-parma-blu-mediterraneo-arancia-di-capri-eau-de-toilette-for-men-30-ml-1688719907.png
"set-acqua-di-parma:-acqua-nobile-magnolia,-eau-de-parfum,-for-women,-100-ml-+-magnolia-nobile,-hydrating,-body-lotion,-75-ml-+-magnolia-nobile,-shower-gel,-for-all-skin-types,-75-ml","Set Acqua di Parma: Acqua Nobile Magnolia, Eau De Parfum, For Women, 100 ml + Magnolia Nobile, Hydrating, Body Lotion, 75 ml + Magnolia Nobile, Shower Gel, For All Skin Types, 75 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfume Sets,"For Women, Regular, Perfume Sets",TRUE,Title,Default Title,8028713470547,80.69,168.00,14,https://www.mewse.ro/images/produse/set-acqua-di-parma-acqua-nobile-magnolia-eau-de-parfum-for-women-100-ml-magnolia-nobile-hydrating-body-lotion-75-ml-magnolia-nobile-shower-gel-for-all-skin-types-75-ml-1679650591.jpg
"set-acqua-di-parma:-colonia-futura,-anti-sweat,-deodorant-spray,-for-men,-75-ml-+-colonia-futura,-shower-gel-&-shampoo-2-in-1,-75-ml-+-colonia-futura,-eau-de-cologne,-for-men,-100-ml","Set Acqua di Parma: Colonia Futura, Anti-Sweat, Deodorant Spray, For Men, 75 ml + Colonia Futura, Shower Gel & Shampoo 2-In-1, 75 ml + Colonia Futura, Eau De Cologne, For Men, 100 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfume Sets,"For Men, Regular, Perfume Sets",TRUE,Title,Default Title,8028713280214,70.84,145.00,8,https://www.mewse.ro/images/produse/set-acqua-di-parma-colonia-futura-anti-sweat-deodorant-spray-for-men-75-ml-colonia-futura-shower-gel-shampoo-2-in-1-75-ml-colonia-futura-eau-de-cologne-for-men-100-ml-1686311593.png
"acqua-di-parma,-signatures-of-the-sun---ambra,-eau-de-parfum,-for-men,-180-ml","Acqua di Parma, Signatures Of The Sun - Ambra, Eau De Parfum, For Men, 180 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfumes,"For Men, Regular, Perfumes",TRUE,Title,Default Title,8028713810725,181.80,370.00,3,https://www.mewse.ro/images/produse/acqua-di-parma-signatures-of-the-sun-ambra-eau-de-parfum-for-men-180-ml-1712665432.jpg
"acqua-di-parma,-signatures-of-the-sun---lily-of-the-valley,-eau-de-parfum,-unisex,-180-ml","Acqua di Parma, Signatures Of The Sun - Lily of the Valley, Eau De Parfum, Unisex, 180 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfumes,"Unisex, Regular, Perfumes",TRUE,Title,Default Title,8028713811227,143.05,265.00,52,https://www.mewse.ro/images/produse/acqua-di-parma-signatures-of-the-sun-lily-of-the-valley-eau-de-parfum-unisex-180-ml-1728454552.jpg
"acqua-di-parma,-blu-mediterraneo-arancia-di-capri,-eau-de-toilette,-unisex,-150-ml","Acqua di Parma, Blu Mediterraneo Arancia di Capri, Eau De Toilette, Unisex, 150 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfumes,"Unisex, Regular, Perfumes",TRUE,Title,Default Title,8028713570025,90.00,180.00,3,https://www.mewse.ro/images/produse/acqua-di-parma-blu-mediterraneo-arancia-di-capri-eau-de-toilette-unisex-150-ml-1705856759.jpg
"acqua-di-parma,-colonia-pura,-eau-de-cologne,-for-men,-individual,-50-ml","Acqua di Parma, Colonia Pura, Eau De Cologne, For Men, Individual, 50 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfumes,"For Men, Regular, Perfumes",TRUE,Title,Default Title,8028713270017,51.84,104.50,1,https://www.mewse.ro/images/produse/acqua-di-parma-colonia-pura-eau-de-cologne-for-men-50-ml-0-8028713270017-1668779921.jpg
